source,target,flow_group,value
excretion,IAS,excretion,11.63
excretion,sewage network,excretion,48.37
IAS,groundwater,water,9
IAS,WWTP,WWTP,0.62
IAS,air,air,2.84
large industries,sewage network,large industries,2.92
sewage network,WWTP,WWTP,46.38
WWTP,water,water,7.1
sewage network,water,water,7.05
WWTP,sludge,sludge,9.98
WWTP,air,air,29.92
sludge,spread,sludge,5.39
sludge,composted,sludge,3.49
sludge,"landfill, incineration..",lost,1.1
composted,air,air,1.05
composted,recycled,sludge,2.45
spread,recycled,sludge,5.39
residual,sewage network,large industries,2.18
residual,IAS,sewage network,0.7
